算法,指标,指标键名,最后一episode值,均值,标准差
GRU_MATD3,奖励 (reward),Sum_reward,-91.68672860824942,-92.90219694631952,26.38754427546803
GRU_MATD3,时延 (delay),Sum_delay,0.003252057635049102,0.0032549252047611734,0.00019526073108968857
GRU_MATD3,能耗 (E_total),Sum_E_total,7.78892304670219,7.89880487338524,2.528072388167968
GRU_MATD3,卸载率 (load_rate_0),Sum_load_rate_0,0.47740234650825736,0.45920953996989944,0.05077727064045214
GRU_MATD3,资源浪费率 (eta1),Sum_eta1,1.5158973068374901,1.4990571733604146,1.034374040268377
SAC,奖励 (reward),Sum_reward,-129.71703930705053,-124.75824292071022,17.27065707722291
SAC,时延 (delay),Sum_delay,0.004064365284898307,0.0041911848011540066,0.0005682074702039416
SAC,能耗 (E_total),Sum_E_total,8.440358485642049,9.169531236157916,1.7505585839797428
SAC,卸载率 (load_rate_0),Sum_load_rate_0,0.8006275907625344,0.860558713307531,0.08243126488760598
SAC,资源浪费率 (eta1),Sum_eta1,59.911371772165595,63.93051078154973,4.326950076681068
SAC_FDN,奖励 (reward),Sum_reward,-126.1275595774822,-180.3797802439102,85.11956512240064
SAC_FDN,时延 (delay),Sum_delay,0.005968795874709535,0.009247841528925646,0.007786182269956084
SAC_FDN,能耗 (E_total),Sum_E_total,9.382846972412901,11.563115532385975,4.47312157621766
SAC_FDN,卸载率 (load_rate_0),Sum_load_rate_0,1.0,0.9194229107682442,0.15746376118869387
SAC_FDN,资源浪费率 (eta1),Sum_eta1,83.09079067112528,60.966544326829045,28.178434797922595
Rand,奖励 (reward),Sum_reward,-442.50175921847955,-441.23838161554426,2.9956701569398856
Rand,时延 (delay),Sum_delay,0.009503873910198558,0.009120273569959994,0.0007000767302512889
Rand,能耗 (E_total),Sum_E_total,39.876374518303656,39.9030307243731,0.042041589398234464
Rand,卸载率 (load_rate_0),Sum_load_rate_0,0.9845768791364818,0.984535828526055,5.923318740431211e-05
Rand,资源浪费率 (eta1),Sum_eta1,12.963817294443848,12.96269404837154,0.001099875382563145
SA,奖励 (reward),Sum_reward,-291.11717134706237,-288.1762030397759,3.4548932308530955
SA,时延 (delay),Sum_delay,0.0075817929285626655,0.007867477858093006,0.0003709215141790855
SA,能耗 (E_total),Sum_E_total,25.463233408097224,25.056378868934367,0.25187062539150545
SA,卸载率 (load_rate_0),Sum_load_rate_0,0.9890311017511607,0.9921239850844539,0.0021460360524559498
SA,资源浪费率 (eta1),Sum_eta1,19.05972699390869,19.33725367415291,0.23693335034391666
